"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"1977","5","Pennsylvania","Water","Unknown",,"Suspected","Restaurant","45",,,"0",,,,,"Drinking water","Other",
"1977","5","Indiana","Water","Legionella unknown",,"Confirmed","Hotel/motel","39","35",,"4",,,,,"Undetermined water",,
"1977","5","Illinois","Water","Unknown",,"Suspected","Restaurant","154",,,"0",,,,,"Drinking water","Other",
"1977","5","California","Water","Legionella unknown",,"Confirmed","Hospital","49",,,"15",,,,,"Undetermined water",,
"1977","6","Virginia","Water","Legionella micdadei",,"Confirmed","Hospital","16",,,"2",,,,,"Drinking water","Unknown",
"1977","6","Utah","Water","Giardia duodenalis",,"Confirmed","Resort","7",,,"0",,,,,"Drinking water","Other",
"1977","6","Minnesota","Water","Unknown",,"Suspected","Resort","13",,,"0",,,,,"Drinking water","Other",
"1977","7","Montana","Water","Giardia duodenalis",,"Confirmed","Hotel/motel","55",,,"0",,,,,"Drinking water","Other",
"1977","7","Montana","Water","Giardia duodenalis",,"Confirmed","Community/municipality","200",,,"0",,,,,"Drinking water","Community",
"1977","7","Maine","Water","Unknown",,"Suspected","Camp/cabin","91",,,"0",,,,,"Drinking water","Other",
"1977","7","Iowa","Water","Salmonella unknown",,"Confirmed","Community/municipality","206",,,"0",,,,,"Drinking water","Community",
"1977","7","California","Water","Unknown",,"Suspected","Camp/cabin","203",,,"0",,,,,"Drinking water","Other",
"1977","7","California","Water","Unknown",,"Suspected","Camp/cabin","63",,,"0",,,,,"Drinking water","Other",
"1977","7","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","15",,,"0",,,,,"Drinking water","Other",
"1977","7","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","47",,,"0",,,,,"Drinking water","Other",
"1977","7","Ohio","Water","Legionella unknown",,"Confirmed","Community/municipality","64","64",,"1",,,,,"Undetermined water",,
"1977","7","Wyoming","Water","Unknown",,"Suspected","Park - National Park","402",,,"0",,,,,"Drinking water","Community",
"1977","7","Washington","Water","Unknown",,"Suspected","Backcountry/wilderness area","12",,,"0",,,,,"Other/Environmental water",,
"1977","7","South Carolina","Water","Hepatitis A",,"Confirmed","Factory/industrial facility","47",,,"0",,,,,"Drinking water","Other",
"1977","8","Tennessee","Water","Legionella unknown",,"Confirmed","Community/municipality","33",,,"3",,,,,"Undetermined water",,
"1977","8","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","150",,,"0",,,,,"Drinking water","Other",
"1977","8","North Dakota","Water","Unknown",,"Suspected","Hotel/motel","25",,,"0",,,,,"Drinking water","Community",
"1977","8","California","Water","Unknown",,"Suspected","Camp/cabin","75",,,"0",,,,,"Drinking water","Other",
"1977","9","California","Water","Unknown",,"Suspected","Camp/cabin","12",,,"0",,,,,"Other/Environmental water",,
"1977","10","Connecticut","Water","Copper",,"Confirmed","School/college/university","3",,,"0",,,,,"Drinking water","Community",
"1977","10","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","500",,,"0",,,,,"Drinking water","Other",
"1977","11","Michigan","Water","Fluoride",,"Confirmed","Community/municipality","4",,,"0",,,,,"Drinking water","Community",
"1977","11","Pennsylvania","Water","Copper",,"Confirmed","School/college/university","11",,,"0",,,,,"Drinking water","Other",
"1978","2","Pennsylvania","Water","Unknown",,"Suspected","Resort","91",,,"0",,,,,"Drinking water","Other",
"1978","2","Montana","Water","Pseudomonas unknown",,"Confirmed","Hotel/motel","21",,,,,,,,"Recreational water -- treated","Pool - Other Swimming Pool",
"1978","3","Colorado","Water","Giardia duodenalis",,"Confirmed","Community/municipality","5,000",,,"0",,,,,"Drinking water","Community",
"1978","4","Pennsylvania","Water","Unknown",,"Suspected","Camp/cabin","50",,,"0",,,,,"Drinking water","Other",
"1978","5","New York","Water","Shigella unknown",,"Confirmed","School/college/university","23",,,"0",,,,,"Drinking water","Other",
"1978","5","Missouri","Water","Unknown",,"Suspected","Restaurant","750",,,"0",,,,,"Drinking water","Other",
"1978","5","Oregon","Water","Shigella sonnei",,"Confirmed","Apartment/Condo","34",,,"0",,,,,"Drinking water","Community",
"1978","5","Washington","Water","Norovirus other",,"Confirmed","School/college/university","467",,,"0",,,,,"Drinking water","Other",
"1978","5","Vermont","Water","Campylobacter jejuni",,"Confirmed","Community/municipality","3,000",,,"0",,,,,"Drinking water","Community",
"1978","5","Pennsylvania","Water","Norovirus other",,"Confirmed","Camp/cabin","350",,,"0",,,,,"Drinking water","Other",
"1978","6","Pennsylvania","Water","Shigella sonnei",,"Confirmed","Camp/cabin","99",,,"0",,,,,"Drinking water","Other",
"1978","6","Colorado","Water","Unknown",,"Suspected","Community/municipality","350",,,"0",,,,,"Drinking water","Other",
"1978","7","Georgia","Water","Legionella pneumophila","unknown","Confirmed","Fee-based facility/membership club","8","4",,,,,,,"Other/Environmental water",,
"1978","7","California","Water",,,,"Unknown","200",,,,,,,,"Recreational water -- treated","Pool - Other Swimming Pool",
"1978","7","Utah","Water","Giardia duodenalis",,"Confirmed","Farm/dairy/agricultural setting","18",,,"0",,,,,"Other/Environmental water",,
"1978","7","Tennessee","Water","Unknown",,"Suspected","Subdivision/Neighborhood","5",,,"0",,,,,"Other/Environmental water",,
"1978","7","Pennsylvania","Water","Norovirus other",,"Confirmed","Camp/cabin","120",,,"0",,,,,"Drinking water","Other",
"1978","7","Oregon","Water","Unknown",,"Suspected","Hotel/motel","174",,,"0",,,,,"Drinking water","Community",
